episode,steps,result,boss_hp_remaining,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_tank,damage_healer,damage_support,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,23,TIMEOUT,5000,1.0,0,-69.523,-72.22,-64.52,-70.03,-74.02,0,0,0,40,1,0,0,0,0,1.5
2,27,TIMEOUT,4515,0.903,0,-45.567,-8.87,-32.02,-59.31,-45.37,25,20,35,40,4,0,0,0,0,1.6
3,20,TIMEOUT,4815,0.963,0,-55.55,-42.67,-61.22,-53.01,-52.42,0,0,0,0,4,0,0,0,0,1.6
4,16,TIMEOUT,4950,0.99,0,-61.143,-70.52,-46.32,-68.09,-69.02,0,20,30,0,2,0,0,0,0,1.7
5,26,TIMEOUT,4486,0.8972,0,-57.76,0.18,-57.87,-67.09,-48.32,0,13,35,0,4,0,0,0,0,1.8
6,46,TIMEOUT,4465,0.893,0,-58.513,2.73,-38.27,-62.85,-74.42,70,0,0,80,1,0,0,0,0,1.9
7,23,TIMEOUT,4610,0.922,0,-51.673,-25.32,-51.87,-39.43,-63.72,0,30,50,40,5,0,0,0,0,2.0
8,15,TIMEOUT,5000,1.0,0,-50.987,-70.92,-53.22,-50.17,-49.57,0,0,0,0,1,0,0,0,0,2.1
9,28,TIMEOUT,4875,0.975,0,-63.467,-53.17,-69.57,-47.16,-73.67,0,0,0,40,3,0,0,0,0,2.1
10,33,WIPE,4440,0.888,0,-212.233,-146.42,-203.22,-213.11,-220.37,25,0,35,40,0,0,0,0,0,2.2
11,37,TIMEOUT,4605,0.921,0,-52.813,-16.72,-49.52,-54.95,-53.97,50,0,0,0,3,0,0,0,0,2.3
12,20,TIMEOUT,4957,0.9914,0,-59.37,-70.07,-45.72,-64.82,-67.57,0,8,35,40,3,0,0,0,0,2.4
13,29,WIPE,4675,0.935,0,-211.007,-183.27,-200.72,-216.13,-216.17,20,20,35,0,1,0,0,0,0,2.5
14,7,TIMEOUT,5000,1.0,0,-53.683,-71.97,-54.87,-52.31,-53.87,0,0,0,0,2,0,0,0,0,2.5
15,17,TIMEOUT,4735,0.947,0,-46.2,-32.72,-40.62,-46.31,-51.67,0,0,15,40,3,0,0,0,0,2.5
16,34,WIPE,4645,0.929,0,-212.99,-173.97,-203.32,-216.38,-219.27,25,5,15,0,2,0,0,0,0,2.6
17,18,TIMEOUT,5000,1.0,0,-58.023,-71.32,-48.52,-51.38,-74.17,0,0,0,0,2,0,0,0,0,2.7
18,24,WIPE,4501,0.9002,0,-219.207,-154.42,-216.97,-220.63,-220.02,39,10,15,0,2,0,0,0,0,2.7
19,26,TIMEOUT,4645,0.929,0,-51.413,-20.57,-37.62,-69.45,-47.17,0,0,15,0,4,0,0,0,0,2.8
20,38,TIMEOUT,4355,0.871,0,-60.533,21.43,-41.22,-70.56,-69.82,20,0,15,0,3,0,0,0,0,2.9
