episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,70,WIPE,309,591,65.67,0.3433,2,128.985,144.61,141.631,142.228,103.096,198,111,66,216,591,0,1,0,1,0,1,0.8
2,59,VICTORY,0,900,100.0,0.0,2,825.368,744.52,797.491,820.192,858.422,309,48,207,336,900,95,0,0,0,0,0,0.9
3,133,WIPE,18,882,98.0,0.02,2,578.917,632.978,606.065,678.07,452.617,480,33,162,207,882,355,2,0,2,0,0,1.1
4,63,VICTORY,0,900,100.0,0.0,2,776.554,742.84,762.125,769.974,797.564,306,33,174,387,900,35,0,0,0,0,0,1.1
5,67,VICTORY,0,900,100.0,0.0,2,811.287,816.81,863.58,804.195,766.086,594,0,144,162,900,0,0,0,0,0,0,1.2
6,81,VICTORY,0,900,100.0,0.0,2,858.733,745.73,852.518,856.979,866.701,243,36,219,402,900,55,4,0,0,0,0,1.3
7,70,VICTORY,0,900,100.0,0.0,2,808.346,749.661,812.044,838.127,774.866,354,0,156,390,900,235,2,0,0,0,0,1.4
8,75,VICTORY,0,900,100.0,0.0,2,829.257,824.35,891.604,816.222,779.944,519,3,195,183,900,25,1,0,0,0,0,1.5
9,64,WIPE,372,528,58.67,0.4133,1,154.409,249.94,210.491,152.654,100.083,279,78,63,108,528,65,2,1,0,0,1,1.6
10,66,VICTORY,0,900,100.0,0.0,2,772.6,762.003,768.787,755.616,793.396,360,0,135,405,900,0,0,0,0,0,0,1.6
11,61,VICTORY,0,900,100.0,0.0,2,734.333,690.93,715.064,722.709,765.227,360,0,171,369,900,0,1,0,0,0,0,1.7
12,82,VICTORY,0,900,100.0,0.0,2,896.019,866.227,886.668,925.907,875.481,522,15,159,204,900,130,1,1,0,0,0,1.8
13,55,VICTORY,0,900,100.0,0.0,2,857.448,767.1,774.704,901.451,896.189,303,0,177,420,900,0,1,0,0,0,0,1.9
14,69,VICTORY,0,900,100.0,0.0,2,912.65,718.32,845.546,958.649,933.756,159,0,237,504,900,35,1,0,0,0,0,1.9
