episode,steps,avg_reward,avg_length,win_rate_a,wins_a,wins_b,draws,fps,avg_tank_dist,tank_policy_type
10,8000,-1297.5342,200.00,10.00,1,9,0,486.91,8.87,G5_M2_C3
20,15868,-1268.6061,198.35,10.00,2,18,0,495.29,9.19,G7_M4_C9
30,23868,-1602.3747,198.90,10.00,3,27,0,507.32,9.88,G11_M5_C14
40,31868,-1803.0547,199.18,7.50,3,37,0,513.66,10.82,G15_M6_C19
50,39868,-1999.6263,199.34,6.00,3,47,0,509.34,11.27,G21_M7_C22
60,47748,-1782.1967,198.95,6.67,4,56,0,510.94,10.82,G25_M10_C25
70,55376,-1537.3338,197.77,17.14,12,58,0,511.81,10.14,G28_M15_C27
80,63104,-1488.5979,197.20,21.25,17,63,0,516.33,10.05,G32_M16_C32
90,71104,-1427.6985,197.51,20.00,18,72,0,513.96,9.97,G34_M18_C38
100,79104,-1416.3711,197.76,20.00,20,80,0,513.00,10.06,G37_M20_C43
110,87104,-1349.1492,197.76,20.00,22,88,0,516.33,10.02,G42_M21_C47
120,95104,-1299.0981,198.09,20.83,25,95,0,516.61,10.00,G45_M25_C50
130,103104,-1195.2842,198.09,22.31,29,101,0,518.26,9.90,G52_M26_C52
140,111104,-1116.4247,198.09,20.71,29,111,0,520.24,9.69,G59_M27_C54
150,119104,-908.1676,198.09,20.67,31,119,0,523.09,9.29,G64_M28_C58
160,127104,-910.6297,198.39,21.25,34,126,0,525.00,9.30,G69_M29_C62
170,134860,-935.6104,198.71,21.76,37,133,0,522.51,9.39,G75_M32_C63
180,142824,-944.3645,199.30,21.11,38,142,0,522.65,9.54,G82_M32_C66
190,150824,-884.5169,199.30,20.53,39,151,0,523.89,9.29,G88_M34_C68
200,158824,-831.8784,199.30,20.00,40,160,0,525.15,9.29,G93_M36_C71
210,166824,-829.5364,199.30,20.00,42,168,0,525.97,9.24,G99_M38_C73
220,174716,-812.2901,199.03,20.00,44,176,0,527.12,9.19,G102_M39_C79
230,182716,-737.8845,199.03,19.57,45,185,0,528.55,8.96,G108_M40_C82
240,190608,-663.0217,198.76,20.42,49,191,0,529.78,8.71,G114_M41_C85
250,198500,-699.3326,198.49,22.00,55,195,0,528.89,8.72,G119_M42_C89
260,206500,-698.7479,198.49,22.31,58,202,0,528.10,8.72,G120_M43_C97
270,214500,-690.4226,199.10,22.96,62,208,0,528.05,8.69,G125_M46_C99
280,222420,-659.5006,198.99,23.93,67,213,0,528.37,8.43,G131_M48_C101
290,230328,-719.9082,198.76,24.83,72,218,0,527.32,8.66,G140_M49_C101
300,237460,-695.9130,196.59,26.33,79,221,0,526.69,8.40,G145_M49_C106
310,245236,-663.0057,196.03,25.81,80,230,0,527.31,8.30,G149_M51_C110
320,253236,-692.0463,196.30,25.94,83,237,0,527.92,8.28,G155_M53_C112
